Cluster;Star;X;Y;Color;Size;Sphere of Influence;Planet;Type;Hazard;Tectonics;Weather;Thermal;Biohazard;Biological Units;Mineral Value;Axial Tilt;Density;Radius;Gravity;Temp;Day Duration;Atmosphere;DistFromStar
Circini;Gamma;043.7;627.0;blue;dwarf;Arilou;I;Plutonic;8;2;8;4;1;0;766;-3;157;105;164;182;281;3396;770
Circini;Gamma;043.7;627.0;blue;dwarf;Arilou;II;Auric;7;1;3;1;7;89;708;19;144;37;53;44;294;102;1334
Circini;Gamma;043.7;627.0;blue;dwarf;Arilou;III;Lanthanide;6;6;1;1;1;0;900;-8;155;36;55;-87;161;0;2554
Circini;Gamma;043.7;627.0;blue;dwarf;Arilou;IV;Gas Giant;8;1;8;1;1;0;0;-21;21;1338;280;-132;98;65535;4433
Circini;Gamma;043.7;627.0;blue;dwarf;Arilou;V;Copper;3;3;1;1;1;54;372;-2;144;36;51;-157;276;13;6580
Circini;Gamma;043.7;627.0;blue;dwarf;Arilou;VI;Auric;5;1;1;1;5;104;1896;15;147;36;52;-162;184;13;7181
Circini;Gamma;043.7;627.0;blue;dwarf;Arilou;VII;Acid;4;4;1;1;1;0;261;-14;102;28;28;-167;24612;0;7807
Algol;Prime;900.0;325.0;red;dwarf;Druuge;I;Pellucid;2;2;1;1;1;0;0;21;62;33;20;-217;239;0;1122
Almagest;Prime;990.9;235.9;blue;dwarf;Druuge;I;Opalescent;4;4;1;3;1;0;178;3;61;26;15;142;184;0;521
Arietis;Beta;946.9;154.8;green;dwarf;Druuge;I;Plutonic;5;2;3;1;5;58;1086;-11;152;86;130;-143;15227;99;3332
Arietis;Gamma;947.7;167.0;yellow;dwarf;Druuge;I;Treasure;2;2;1;1;1;0;846;30;202;34;68;-200;24814;0;5863
Arietis;Delta;954.1;168.7;red;giant;Druuge;I;Chondrite;6;6;1;1;1;0;78;-18;104;29;30;-114;232;0;3472
Arietis;Alpha;937.5;158.3;green;dwarf;Druuge;I;Selenic;6;1;4;6;1;0;135;11;61;33;20;428;158;97;284
Arietis;Epsilon;955.9;173.5;orange;dwarf;Druuge;I;Magma;7;7;1;1;1;0;123;-26;147;112;164;-192;221;0;2161
Persei;Delta;925.0;285.4;white;dwarf;Druuge;I;Auric;5;3;5;3;1;0;1026;31;155;32;49;125;261;211;1035
Persei;Alpha;929.1;258.3;blue;dwarf;Druuge;I;Copper;5;1;3;1;5;64;312;20;155;36;55;40;174;85;1277
Persei;Eta;889.5;268.7;orange;dwarf;Druuge;I;Halide;2;2;1;1;1;0;290;21;60;33;19;-71;178;0;345
Persei;Theta;937.5;241.6;green;dwarf;Druuge;I;Copper;2;2;2;1;1;0;288;29;147;28;41;-41;22607;12;1056
Persei;Gamma;933.3;279.1;red;dwarf;Druuge;I;Crimson;4;2;4;1;1;0;177;-15;98;30;29;-194;166;98;559
Persei;Zeta;946.9;280.6;orange;dwarf;Druuge;I;Dust;5;3;4;1;5;39;51;10;63;37;23;18;271;110;256
Persei;Epsilon;903.8;240.7;red;dwarf;Druuge;I;Iodine;5;5;2;1;1;0;48;-10;59;93;54;-218;243;14;1160
Persei;Iota;887.5;231.2;green;dwarf;Druuge;I;Pellucid;4;3;3;2;1;0;0;45;60;28;16;55;275;11;620
